@T,table
Created,2018-05-08 13:13
Author,HortonMachine library
@H,timestamp,value_16,value_18,value_19,value_8,value_10,value_11,value_12,value_13
,1994-04-08 18:00,0.1320614595300924,0.13324779440716839,0.1369068770555799,0.1585714066508217,0.13194737895149444,0.13359527315817843,0.13526260659216405,0.1470807927901916
,1994-04-08 19:00,0.10995753567303268,0.111020289486504,0.11388714021765622,0.13061790099339987,0.10975613016564978,0.11118499279389482,0.11266727763224083,0.12182595630949322
,1994-04-08 20:00,0.07726236476808879,0.07809858873110898,0.08099317780008164,0.0936307174663682,0.07733352522865289,0.07875036293386017,0.0805844182547304,0.08800668367931053
,1994-04-08 21:00,0.04370893276089305,0.04429935699980092,0.04643328482559639,0.06381241599861198,0.043811536917914395,0.04491285173347137,0.04642927639555694,0.052755778202367765
,1994-04-08 22:00,0.029088187286276934,0.029515352086022517,0.03116692560854517,0.055466180592205205,0.029211787118740062,0.030104050523149795,0.03140449033664083,0.037668590689065695
,1994-04-08 23:00,0.016377181157636755,0.016626533486856943,0.01752236042399602,0.04069262853762723,0.01644481991085911,0.01698949915825665,0.017801958228332637,0.022551483394778415
,1994-04-09 00:00,0.01767321097069896,0.017692494825126914,0.017960805031037808,0.038033526524571926,0.017787885362977818,0.018033137403151045,0.018558370716505124,0.021318909913318862
,1994-04-09 01:00,0.014980380614233013,0.014963103360557284,0.014469861143979301,0.02607673534141952,0.014910954864404857,0.014917947778329221,0.015044866030450521,0.015258796296720334
,1994-04-09 02:00,0.0070479708966075805,0.007051579441281319,0.006344093092863545,0.017315950919012835,0.006890631059008001,0.00684194082307954,0.006828194469306936,0.006719738745900372
,1994-04-09 03:00,8.734206434439784E-4,8.270847245341884E-4,6.949006447598549E-5,0.01360617074988113,7.416613742492473E-4,6.467678694406231E-4,6.104094484555844E-4,7.500129875239736E-4
,1994-04-09 04:00,0.0,0.0,0.0,0.008403940555808731,0.0,0.0,0.0,0.0
,1994-04-09 05:00,0.0,0.0,0.0,0.008522211630818788,0.0,0.0,0.0,0.0
,1994-04-09 06:00,0.0,0.0,0.0,0.006922176090682797,0.0,0.0,0.0,0.0
,1994-04-09 07:00,0.004382973943364732,0.0017776855341082864,0.0,0.0252686809330811,0.003993264597099255,8.99050341715224E-4,0.0,0.0
,1994-04-09 08:00,0.041297873093355975,0.041166546308971874,0.030480533070416982,0.04517172445105189,0.04139976455049066,0.04139005897594927,0.04083135019718043,0.023003398861234814
,1994-04-09 09:00,0.06906406916527885,0.06911301731049946,0.06961321872375947,0.07730361667559293,0.06923950271077217,0.06963371412959418,0.07052241568629825,0.07134887224594877
,1994-04-09 10:00,0.08500687081959768,0.0857383473040585,0.08895063673521975,0.10753500041805353,0.08523147561791689,0.08655423945906193,0.08816880847764708,0.09751736505592135
,1994-04-09 11:00,0.09500644397220981,0.0955064023077341,0.09813439946501035,0.11572253158178114,0.09531093914139888,0.09640260070167983,0.09790218036133069,0.10535082597490941
,1994-04-09 12:00,0.08510637472629412,0.08579988639139913,0.08881451930099615,0.10931183272425926,0.08530836455447854,0.08655570888640796,0.08806983703959759,0.09733358154880989
,1994-04-09 13:00,0.7056896803374286,0.6573949206185858,0.6632107359529726,0.4781703486518296,0.6571728462770068,0.6594878268496416,0.6625764629937407,0.6805997990209818
,1994-04-09 14:00,0.40909221687684294,0.360200159525192,0.36410928254477426,0.33188842201305135,0.3606345211576212,0.36202092178072576,0.3641461667196495,0.3804324082885273
,1994-04-09 15:00,0.7514340871211402,0.5190756993815029,0.5264384689046011,0.40783684859182756,0.5182338448868649,0.5218696269839285,0.5270628556046262,0.5549650694845809
,1994-04-09 16:00,2.634799775125586,2.6856605906258295,2.8746360296045452,3.332436848945136,2.6474524799814105,2.7370470961316613,2.8420738807109416,3.2850146538046374
,1994-04-09 17:00,0.7205785154349655,0.757433698431214,1.1456943818925964,2.5618025931571538,0.7711843815624206,0.9268801574205128,1.154688571693967,1.9584809908805312
,1994-04-09 18:00,0.0,0.0,0.0,1.1148758668278873,0.0,0.0,0.0,0.0
,1994-04-09 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-09 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-09 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-09 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-09 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1994-04-10 16:00,0.0,0.0,0.0,0.5902074365025953,0.0,0.0,0.0,0.0
,1994-04-10 17:00,0.0,0.0,0.0,0.02996261113833043,0.0,0.0,0.0,0.0
,1994-04-10 18:00,0.0,0.0,0.0,0.03219512604910335,0.0,0.0,0.0,0.0
,1994-04-10 19:00,0.0,0.0,0.0,0.02742921469150872,0.0,0.0,0.0,0.0
,1994-04-10 20:00,0.0,0.0,0.0,0.8480193430995087,0.0,0.0,0.0,0.0
,1994-04-10 21:00,0.0,0.0,0.0,0.014764108259882391,0.0,0.0,0.0,0.0
,1994-04-10 22:00,0.0,0.0,0.0,0.037432718927689734,0.0,0.0,0.0,0.0
,1994-04-10 23:00,0.0,0.0,0.0,0.009513960373283226,0.0,0.0,0.0,0.0
,1994-04-11 00:00,0.0,0.0,0.0,0.009326750104278858,0.0,0.0,0.0,0.0
,1994-04-11 01:00,0.0,0.0,0.0,0.008405373012635664,0.0,0.0,0.0,0.0
,1994-04-11 02:00,0.0,0.0,0.0,0.0080255559991258,0.0,0.0,0.0,0.0
,1994-04-11 03:00,0.0,0.0,0.0,0.017465278751416236,0.0,0.0,0.0,0.0
,1994-04-11 04:00,0.0,0.0,0.0,0.1287887993574799,0.0,0.0,0.0,0.0
,1994-04-11 05:00,0.0,0.0,0.0,0.0290508145955215,0.0,0.0,0.0,0.0
,1994-04-11 06:00,0.0,0.0,0.0,0.039389031683441544,0.0,0.0,0.0,0.0
,1994-04-11 07:00,0.0,0.0,0.0,0.03386892950463505,0.0,0.0,0.0,0.0
,1994-04-11 08:00,0.0,0.0,0.0,0.027925897684056622,0.0,0.0,0.0,0.0
,1994-04-11 09:00,0.0,0.0,0.0,0.020376191565432578,0.0,0.0,0.0,0.0
,1994-04-11 10:00,0.0,0.0,0.0,0.01919408472251405,0.0,0.0,0.0,0.0
,1994-04-11 11:00,0.0,0.0,0.0,0.03807099556216542,0.0,0.0,0.0,0.0
,1994-04-11 12:00,0.0,0.0,0.0,0.051659323689960956,0.0,0.0,0.0,0.0
,1994-04-11 13:00,0.0,0.0,0.0,0.05738713553093078,0.0,0.0,0.0,0.0
,1994-04-11 14:00,0.0,0.0,0.0,0.07374293932936382,0.0,0.0,0.0,0.0
,1994-04-11 15:00,0.0,0.0,0.0,0.08818716632971757,0.0,0.0,0.0,0.0
,1994-04-11 16:00,0.0,0.0,0.0,0.3265856045879474,0.0,0.0,0.0,0.0023696489133584464
,1994-04-11 17:00,0.0,0.0,0.0,0.6762856828887465,0.0,0.0,0.0,0.49028537478149303
,1994-04-11 18:00,0.0,0.0,0.0,0.09923291374413168,0.0,0.0,0.0,0.12997334778020786
,1994-04-11 19:00,0.0,0.0,0.0,0.046103111556618614,0.0,0.0,0.0,0.03495222623836014
,1994-04-11 20:00,0.0,0.0,0.0,0.037741541683132596,0.0,0.0,0.0,0.02577575282049338
,1994-04-11 21:00,0.0,0.0,0.0,0.039365739699292135,0.0,0.0,0.0,0.024538635387230556
,1994-04-11 22:00,0.0,0.0,0.0,0.031413531409754114,0.0,0.0,0.0,0.01775274464958443
,1994-04-11 23:00,0.0,0.0,0.0,0.02377727477427527,0.0,0.0,0.0,0.009093422853155175
,1994-04-12 00:00,0.0,0.0,0.0,0.017558366657596025,0.0,0.0,0.0,0.007417093891831428
,1994-04-12 01:00,0.0,0.0,0.0,0.01951541928848144,0.0,0.0,0.0,0.015543338155069364
,1994-04-12 02:00,0.0,0.0,0.0,0.016054736492250754,0.0,0.0,0.0,0.017126426022912256
,1994-04-12 03:00,0.0,0.0,0.0,0.011104604471384505,0.0,0.0,0.0,0.02066099632143903
,1994-04-12 04:00,0.0,0.0,0.0,0.013380125786966346,0.0,0.0,0.0,0.017255589232064494
,1994-04-12 05:00,0.0,0.0,0.0,0.006165923363099068,0.0,0.0,0.0,0.013010853675112344
,1994-04-12 06:00,0.0,0.0,0.0,0.008272702610739202,0.0,0.0,0.0,0.008514488132362885
,1994-04-12 07:00,0.0,0.0,0.0,0.011907685346059793,0.0,0.0,0.0,0.010699766101680552
,1994-04-12 08:00,0.0,0.0,0.0,0.05979715548649267,0.0,0.0,0.0,0.04636095949389585
,1994-04-12 09:00,0.0,0.0,0.0,0.09634837074618474,0.0,0.0,0.0,0.08167949296320387
,1994-04-12 10:00,0.0,0.0,0.0,0.1462218270295068,0.0,0.0,0.0,0.13378699052520915
,1994-04-12 11:00,0.0,0.0,0.0,0.13525103429083174,0.0,0.0,0.0,0.13148033370640633
,1994-04-12 12:00,0.0,0.0,0.0,0.12505307715196068,0.0,0.0,0.0,0.11603444080495251
,1994-04-12 13:00,0.0,0.0,0.0,0.12240638845244689,0.0,0.0,0.0,0.11459566414255562
,1994-04-12 14:00,0.0,0.0,0.0,0.11676944021465374,0.0,0.0,0.0,0.11012119074324289
